2004 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [12246 8/11/2005 11:07:24 PM]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,15166,BARNIER,Belinda,2,,LP,Liberal,31367,820,388,6452,1622,40649,-0.18
ACT,101,Canberra,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),46893,1249,620,9296,1971,60029,0.18
ACT,102,Fraser,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),53134,1261,953,10714,2297,68359,0.64
ACT,102,Fraser,15143,GILES,Adam,3,,LP,Liberal,30546,870,517,6083,1573,39589,-0.64
NSW,103,Banks,14709,GRAY,Roger,3,,LP,Liberal,30042,2026,184,1644,2018,35914,1.83
NSW,103,Banks,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,31507,2252,207,1588,1914,37468,-1.83
NSW,104,Barton,14360,McCLELLAND,Robert,2,#,ALP,Australian Labor Party,36299,2211,432,2020,1810,42772,1.52
NSW,104,Barton,14891,MORROW,Bruce,4,,LP,Liberal,26451,1737,203,1377,1789,31557,-1.52
NSW,105,Bennelong,14355,CAMPBELL,Nicole,5,,ALP,Australian Labor Party,29512,1988,196,1829,1554,35079,3.38
NSW,105,Bennelong,14818,HOWARD,John Winston,6,#,LP,Liberal,34250,2488,163,1989,2845,41735,-3.38
NSW,106,Berowra,14369,COLNAN,Michael,3,,ALP,Australian Labor Party,24468,1976,154,1797,1042,29437,3.49
NSW,106,Berowra,14745,RUDDOCK,Philip,4,#,LP,Liberal,39235,3100,197,3022,2804,48358,-3.49
NSW,107,Blaxland,14319,HATTON,Michael John,3,#,ALP,Australian Labor Party,37580,2215,403,1498,1687,43383,-2.34
NSW,107,Blaxland,14754,MAJEWSKI,Mark,5,,LP,Liberal,21563,1570,156,926,1407,25622,2.34
NSW,108,Bradfield,14739,NELSON,Brendan,3,#,LP,Liberal,44473,3403,191,3659,3610,55336,-2.65
NSW,108,Bradfield,14313,NEELAM,Neil,5,,ALP,Australian Labor Party,20631,1750,110,1881,1062,25434,2.65
NSW,109,Calare,6975,ANDREN,Peter,2,#,IND,Independent,46605,2967,560,5759,2048,57939,71.24
NSW,109,Calare,14747,BLANCH,Paul,7,,LP,Liberal,18669,1252,152,2325,997,23395,28.76
NSW,110,Charlton,14323,HOARE,Kelly,5,#,ALP,Australian Labor Party,37730,2786,251,2148,2169,45084,1.26
