2007 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:12 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,18175,COLBERT,Natalie,2,N,N,LP,Liberal,34121,547,98,6963,2142,43871,-1.91
ACT,101,Canberra,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,55491,1045,165,11739,2590,71030,1.91
ACT,102,Fraser,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,28679,504,77,6439,2266,37965,-1.75
ACT,102,Fraser,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,54394,896,136,12433,2856,70715,1.75
NSW,103,Banks,17949,MORROW,Bruce,3,N,N,LP,Liberal,26336,1725,48,2138,1862,32109,-7.86
NSW,103,Banks,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,41709,2858,117,3295,2413,50392,7.86
NSW,104,Barton,17856,La MELA,John,3,N,N,LP,Liberal,25308,1780,90,1993,1893,31064,-4.53
NSW,104,Barton,18038,McCLELLAND,Robert,4,Y,Y,ALP,Labor,42061,2958,178,3459,2246,50902,4.53
NSW,105,Bennelong,17857,HOWARD,John Winston,10,N,Y,LP,Liberal,34243,2230,61,2623,3094,42251,-5.53
NSW,105,Bennelong,18018,McKEW,Maxine,13,Y,N,ALP,Labor,36676,2377,82,3028,2522,44685,5.53
NSW,106,Berowra,17873,RUDDOCK,Philip,2,Y,Y,LP,Liberal,39371,3503,72,3562,2614,49122,-4.88
NSW,106,Berowra,18019,COLNAN,Michael,6,N,N,ALP,Labor,27837,2359,59,2586,1382,34223,4.88
NSW,107,Blaxland,17802,MAJEWSKI,Mark,2,N,N,LP,Liberal,19979,1739,74,1471,1240,24503,-3.14
NSW,107,Blaxland,18160,CLARE,Jason,7,Y,N,ALP,Labor,44466,3256,271,3009,1951,52953,3.14
NSW,108,Bradfield,18064,BROOKMAN,Victoria,1,N,N,ALP,Labor,24213,2138,67,2996,1405,30819,4.1
NSW,108,Bradfield,17850,NELSON,Brendan,2,Y,Y,LP,Liberal,42384,3104,94,4314,3616,53512,-4.1
NSW,109,Calare,17483,ALLEN,Michael,2,N,N,ALP,Country Labor,25535,1555,50,3082,1041,31263,-0.64
NSW,109,Calare,17206,COBB,John,4,Y,Y,NP,Nationals,40458,2842,68,4943,2813,51124,0.64
NSW,110,Charlton,18085,COMBET,Greg,5,Y,N,ALP,Labor,43955,2924,62,2978,2379,52298,4.47
NSW,110,Charlton,17911,PATERSON,Lindsay,6,N,N,LP,Liberal,24325,1845,36,2943,1736,30885,-4.47
NSW,111,Chifley,17799,DIAZ,Jess,5,N,N,LP,Liberal,19288,1549,40,1839,856,23572,-8.69
NSW,111,Chifley,18042,PRICE,Roger,8,Y,Y,ALP,Labor,47604,3153,114,4097,1808,56776,8.69
NSW,112,Cook,18034,BUTTIGIEG,Mark,6,N,N,ALP,Labor,30223,2400,65,3013,1695,37396,6.71
NSW,112,Cook,17914,MORRISON,Scott,7,Y,N,LP,Liberal,39954,2371,79,3694,2613,48711,-6.71
NSW,113,Cowper,17201,HARTSUYKER,Luke,1,Y,Y,NP,Nationals,35177,1774,36,4253,2183,43423,-5.52
NSW,113,Cowper,18037,SEKFY,Paul,2,N,N,ALP,Labor,34414,1923,50,3469,1478,41334,5.52
NSW,114,Cunningham,18098,BIRD,Sharon,6,Y,Y,ALP,Labor,46406,2509,55,5543,2869,57382,6.51
NSW,114,Cunningham,17845,FOWLER,Colin,7,N,N,LP,Liberal,21265,1182,14,2746,1640,26847,-6.51
NSW,115,Dobell,18023,THOMSON,Craig,7,Y,N,ALP,Labor,34921,2914,60,4331,2187,44413,8.74
NSW,115,Dobell,17869,TICEHURST,Ken,8,N,Y,LP,Liberal,29542,2381,44,3786,2230,37983,-8.74
NSW,117,Eden-Monaro,18043,KELLY,Mike,2,Y,N,ALP,Labor,35720,1631,67,5282,2507,45207,6.67
NSW,117,Eden-Monaro,17800,NAIRN,Gary,5,N,Y,LP,Liberal,30243,1559,29,4873,2743,39447,-6.67
NSW,118,Farrer,17852,LEY,Sussan,1,Y,Y,LP,Liberal,42769,1001,37,5109,3850,52766,-5.46
NSW,118,Farrer,17488,RYAN,Chris,4,N,N,ALP,Country Labor,27207,572,47,4108,1559,33493,5.46
