2010 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:23 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,20863,JONES,Giulia,1,N,N,LP,Liberal,40761,558,135,2398,1969,45821,2.67
ACT,101,Canberra,21228,BRODTMANN,Gai,3,Y,N,ALP,Australian Labor Party,59322,1009,179,3553,2272,66335,-2.67
ACT,102,Fraser,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,35053,557,146,2470,1702,39928,0.87
ACT,102,Fraser,21210,LEIGH,Andrew,3,Y,N,ALP,Australian Labor Party,63868,1047,249,4073,2376,71613,-0.87
NSW,103,Banks,21087,MELHAM,Daryl,3,Y,Y,ALP,Labor,36632,2493,172,1617,2236,43150,-8.92
NSW,103,Banks,21561,DELEZIO,Ron,4,N,N,LP,Liberal,34702,2072,171,1304,2470,40719,8.92
NSW,104,Barton,21158,McCLELLAND,Robert,1,Y,Y,ALP,Labor,37899,2241,203,2179,2220,44742,-8.08
NSW,104,Barton,21616,La MELA,John,3,N,N,LP,Liberal,28635,1694,147,1437,2028,33941,8.08
NSW,105,Bennelong,21132,McKEW,Maxine,8,N,Y,ALP,Labor,33639,2006,126,1888,2507,40166,-4.52
NSW,105,Bennelong,21648,ALEXANDER,John,10,Y,N,LP,Liberal,38369,1805,109,1767,3468,45518,4.52
NSW,106,Berowra,21587,RUDDOCK,Philip,2,Y,Y,LP,Liberal,48149,3290,106,2322,2885,56752,6.19
NSW,106,Berowra,21923,STOVE,Michael,4,N,N,ALP,Labor,24723,1813,80,1327,1029,28972,-6.19
NSW,107,Blaxland,21180,CLARE,Jason,5,Y,Y,ALP,Labor,38549,2976,320,1984,2119,45948,-4.42
NSW,107,Blaxland,21433,MAJEWSKI,Mark,6,N,N,LP,Liberal,23249,1804,106,1111,1612,27882,4.42
NSW,108,Bradfield,21112,GALLARD,Sarah,2,N,N,ALP,Labor,22704,1783,65,1882,1285,27719,-4.32
NSW,108,Bradfield,21644,FLETCHER,Paul,3,Y,Y,LP,Liberal,49758,2766,137,3033,3703,59397,4.32
NSW,109,Calare,21140,DUFFY,Kevin,3,N,N,ALP,Country Labor,31685,1366,80,935,967,35033,-7.28
NSW,109,Calare,21115,COBB,John,6,Y,Y,NP,The Nationals,48909,1996,104,1376,1824,54209,7.28
NSW,110,Charlton,21259,COMBET,Greg,1,Y,Y,ALP,Labor,44605,2640,118,2025,2676,52064,-0.24
NSW,110,Charlton,21621,McDONALD,John Andrew,3,N,N,LP,Liberal,25972,1524,51,1506,1963,31016,0.24
NSW,111,Chifley,21231,HUSIC,Ed,3,Y,N,ALP,Labor,43922,3207,172,932,1870,50103,-7.34
NSW,111,Chifley,21658,PRIEST,Venus,7,N,N,LP,Liberal,26331,1912,95,622,1308,30268,7.34
NSW,112,Cook,21258,SCAYSBROOK,Peter,2,N,N,ALP,Labor,29165,1709,105,1195,1276,33450,-6.32
NSW,112,Cook,21572,MORRISON,Scott,3,Y,Y,LP,Liberal,49498,2188,164,1677,2611,56138,6.32
NSW,113,Cowper,21230,SEKFY,Paul,1,N,N,ALP,Labor,30491,1476,132,1237,1355,34691,-8.03
NSW,113,Cowper,21014,HARTSUYKER,Luke,5,Y,Y,NP,The Nationals,44060,1752,113,1729,2823,50477,8.03
NSW,114,Cunningham,21442,CLIFFORD,Philip,1,N,N,LP,Liberal,28295,1444,46,1051,1944,32780,3.7
NSW,114,Cunningham,21294,BIRD,Sharon,2,Y,Y,ALP,Labor,49126,2542,93,1652,2821,56234,-3.7
NSW,115,Dobell,21602,McNAMARA,John,2,N,N,LP,Liberal,31891,1882,105,972,2313,37163,-1.14
NSW,115,Dobell,21273,THOMSON,Craig,3,Y,Y,ALP,Labor,39802,2437,148,837,2327,45551,1.14
NSW,117,Eden-Monaro,21706,KELLY,Mike,2,Y,Y,ALP,Labor,40074,1325,112,2188,2601,46300,1.95
NSW,117,Eden-Monaro,21920,GAZARD,David,3,N,N,LP,Liberal,33562,977,52,1842,2630,39063,-1.95
NSW,118,Farrer,21637,LEY,Sussan,4,Y,Y,LP,Liberal,45366,968,97,3337,3745,53513,3.32
NSW,118,Farrer,21284,EMMERY,Christian,5,N,N,ALP,Country Labor,26046,495,57,1564,1272,29434,-3.32
NSW,119,Fowler,21665,DANG,Thomas,2,N,N,LP,Liberal,27591,1976,175,647,1315,31704,13.81
NSW,119,Fowler,21261,HAYES,Chris,3,Y,Y,ALP,Labor,39935,2484,235,851,1673,45178,-13.81
NSW,120,Gilmore,21253,REILLY,Neil,4,N,N,ALP,Labor,34017,1582,67,1232,1751,38649,-5.73
NSW,120,Gilmore,21727,GASH,Joanna,5,Y,Y,LP,Liberal,41460,1842,68,1667,2813,47850,5.73
NSW,121,Grayndler,21656,ALBANESE,Anthony,4,Y,Y,ALP,Labor,37900,3307,226,1806,1899,45138,54.23
NSW,121,Grayndler,21865,BYRNE,Sam,5,N,N,GRN,The Greens,31835,2820,171,1863,1412,38101,45.77
NSW,122,Greenway,21246,ROWLAND,Michelle,1,Y,N,ALP,Labor,34749,2261,218,1110,2017,40355,-4.79
NSW,122,Greenway,21609,DIAZ,Jaymes,2,N,N,LP,Liberal,33517,2185,141,1165,1945,38953,4.79
NSW,124,Hughes,21467,KELLY,Craig,2,Y,N,LP,Liberal,40579,2469,124,2229,2218,47619,4.63
NSW,124,Hughes,21256,THOMAS,Brent,7,N,N,ALP,Labor,32870,2251,106,1827,1634,38688,-4.63
NSW,125,Hume,21245,SAVILLE,Robin,3,N,N,ALP,Labor,31228,1848,81,1908,1272,36337,-3.37
